"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1006.4 ","1008.6 ","26.0 ","25.1 ","95 ","3.4 ","240.0 ","5.7 ","240.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1006.2 ","1008.4 ","26.0 ","24.7 ","93 ","3.3 ","240.0 ","5.1 ","240.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1005.7 ","1007.9 ","25.8 ","24.8 ","94 ","3.0 ","250.0 ","4.7 ","250.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1005.6 ","1007.8 ","25.5 ","24.7 ","95 ","3.5 ","230.0 ","5.3 ","230.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1005.6 ","1007.8 ","25.4 ","24.6 ","95 ","3.3 ","230.0 ","5.6 ","220.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"6","1005.5 ","1007.7 ","25.5 ","24.5 ","94 ","2.7 ","230.0 ","6.8 ","240.0 ","0.0 ","0.0 ","0.1 ","0.00 "," "
"7","1005.8 ","1008.0 ","26.1 ","24.7 ","92 ","2.2 ","250.0 ","4.6 ","250.0 ","0.0 ","0.0 ","0.3 ","0.23 "," "
"8","1005.6 ","1007.8 ","28.3 ","25.5 ","85 ","2.1 ","230.0 ","4.5 ","250.0 ","0.0 ","0.0 ","1.0 ","1.02 ","20.0 "
"9","1005.9 ","1008.1 ","29.7 ","25.4 ","78 ","2.2 ","180.0 ","3.4 ","220.0 ","0.0 ","0.0 ","1.0 ","1.75 ","20.0 "
"10","1005.9 ","1008.1 ","30.0 ","26.4 ","81 ","2.2 ","140.0 ","3.3 ","150.0 ","0.0 ","0.0 ","0.8 ","2.06 "," "
"11","1005.7 ","1007.9 ","31.3 ","26.9 ","78 ","2.6 ","120.0 ","3.9 ","110.0 ","0.0 ","0.0 ","1.0 ","2.90 ","15.0 "
"12","1005.5 ","1007.7 ","30.2 ","26.7 ","82 ","2.4 ","110.0 ","3.8 ","120.0 ","0.0 ","0.0 ","0.8 ","2.70 "," "
"13","1005.2 ","1007.4 ","30.1 ","26.6 ","82 ","2.0 ","110.0 ","3.6 ","110.0 ","0.0 ","0.0 ","0.2 ","1.57 "," "
"14","1004.5 ","1006.7 ","29.9 ","26.7 ","83 ","1.8 ","120.0 ","3.4 ","130.0 ","0.0 ","0.0 ","0.0 ","0.70 ","10.0 "
"15","1004.3 ","1006.5 ","30.2 ","26.7 ","82 ","2.7 ","90.0 ","3.9 ","70.0 ","0.0 ","0.0 ","0.2 ","1.33 "," "
"16","1004.4 ","1006.6 ","29.6 ","26.4 ","83 ","3.5 ","70.0 ","4.6 ","70.0 ","0.0 ","0.0 ","0.3 ","0.70 "," "
"17","1004.4 ","1006.6 ","28.1 ","26.9 ","93 ","2.9 ","360.0 ","5.1 ","360.0 ","1.0 ","0.5 ","0.0 ","0.00 ","8.0 "
"18","1004.9 ","1007.1 ","27.6 ","26.6 ","94 ","3.0 ","20.0 ","6.1 ","10.0 ","1.0 ","0.6 ","0.0 ","0.00 "," "
"19","1005.6 ","1007.8 ","27.3 ","26.3 ","94 ","1.6 ","20.0 ","5.6 ","20.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","1006.1 ","1008.3 ","27.5 ","25.6 ","89 ","2.2 ","10.0 ","4.3 ","10.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"21","1006.7 ","1008.9 ","27.6 ","26.0 ","91 ","0.3 ","350.0 ","3.3 ","10.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"22","1007.4 ","1009.6 ","27.7 ","25.8 ","89 ","1.4 ","320.0 ","2.8 ","20.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1006.4 ","1008.6 ","27.3 ","25.8 ","92 ","1.8 ","320.0 ","3.5 ","280.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"24","1006.2 ","1008.4 ","26.4 ","25.4 ","94 ","2.3 ","230.0 ","3.4 ","210.0 ","0.0 ","0.0 "," ","0.00 "," "
