"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1009.3 ","1009.7 ","23.7 ","19.5 ","77 ","1.7 ","260.0 ","4.9 ","230.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1009.2 ","1009.6 ","23.8 ","19.4 ","76 ","1.9 ","270.0 ","4.2 ","260.0 ","0.0 ","0.0 "," ","0.00 ","5.0 "
"3","1009.0 ","1009.4 ","23.8 ","19.2 ","75 ","2.3 ","290.0 ","4.5 ","270.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1008.8 ","1009.2 ","24.0 ","18.9 ","73 ","1.9 ","280.0 ","4.1 ","280.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1009.1 ","1009.5 ","24.0 ","19.0 ","74 ","0.5 ","290.0 ","3.2 ","310.0 ","0.0 ","0.0 "," ","0.00 ","5.0 "
"6","1009.6 ","1010.0 ","24.0 ","19.1 ","74 ","1.4 ","290.0 ","3.3 ","290.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1010.3 ","1010.7 ","24.2 ","19.2 ","74 ","1.0 ","280.0 ","3.2 ","270.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1010.6 ","1011.0 ","24.0 ","19.8 ","77 ","1.6 ","270.0 ","3.5 ","300.0 ","0.0 ","0.0 ","0.0 ","0.00 ","10.0 "
"9","1011.2 ","1011.6 ","22.9 ","20.4 ","86 ","1.9 ","270.0 ","4.4 ","280.0 ","0.5 ","0.3 ","0.0 ","0.00 ","3.0 "
"10","1011.1 ","1011.5 ","22.9 ","20.9 ","89 ","1.2 ","300.0 ","3.3 ","280.0 ","3.0 ","1.0 ","0.0 ","0.09 "," "
"11","1011.0 ","1011.4 ","22.5 ","20.4 ","88 ","2.3 ","300.0 ","4.7 ","280.0 ","2.0 ","1.0 ","0.0 ","0.25 ","3.0 "
"12","1010.6 ","1011.0 ","22.4 ","20.6 ","90 ","2.2 ","340.0 ","5.5 ","330.0 ","1.5 ","1.0 ","0.0 ","0.31 "," "
"13","1010.3 ","1010.7 ","22.5 ","20.6 ","89 ","2.1 ","330.0 ","4.8 ","330.0 ","2.0 ","1.0 ","0.0 ","0.45 "," "
"14","1010.0 ","1010.4 ","22.6 ","20.9 ","90 ","1.7 ","350.0 ","4.6 ","320.0 ","0.5 ","1.0 ","0.0 ","0.48 ","6.0 "
"15","1009.7 ","1010.1 ","22.4 ","20.6 ","90 ","1.0 ","360.0 ","3.9 ","350.0 ","T ","0.9 ","0.0 ","0.45 "," "
"16","1009.7 ","1010.1 ","22.7 ","20.8 ","89 ","1.2 ","350.0 ","2.8 ","340.0 ","0.0 ","0.0 ","0.0 ","0.16 "," "
"17","1009.7 ","1010.1 ","22.8 ","20.6 ","87 ","0.8 ","350.0 ","2.9 ","330.0 ","0.0 ","0.0 ","0.0 ","0.00 ","6.0 "
"18","1010.1 ","1010.5 ","21.9 ","20.0 ","89 ","2.0 ","180.0 ","3.3 ","180.0 ","0.5 ","0.3 ","0.0 ","0.00 "," "
"19","1010.4 ","1010.8 ","21.9 ","20.1 ","90 ","0.1 ","0.0 ","3.2 ","140.0 ","T ","1.0 ","0.0 ","0.00 "," "
"20","1010.6 ","1011.0 ","22.0 ","20.1 ","89 ","1.4 ","170.0 ","2.7 ","180.0 ","0.5 ","1.0 "," ","0.00 ","5.0 "
"21","1010.9 ","1011.3 ","21.9 ","20.1 ","90 ","0.0 ","0.0 ","2.9 ","170.0 ","0.5 ","0.2 "," ","0.00 ","5.0 "
"22","1011.0 ","1011.4 ","22.4 ","20.6 ","90 ","0.0 ","0.0 ","1.5 ","30.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1010.7 ","1011.1 ","22.6 ","20.9 ","90 ","0.1 ","0.0 ","1.7 ","10.0 ","0.0 ","0.0 "," ","0.00 ","5.0 "
"24","1010.7 ","1011.1 ","22.5 ","21.0 ","91 ","0.2 ","0.0 ","2.0 ","20.0 ","0.0 ","0.0 "," ","0.00 "," "
