"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1000.8 ","1010.6 ","26.1 ","22.0 ","78 ","1.3 ","170.0 ","3.4 ","190.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1000.5 ","1010.3 ","25.8 ","21.9 ","79 ","0.8 ","170.0 ","4.2 ","180.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1000.5 ","1010.3 ","26.2 ","21.6 ","76 ","1.3 ","180.0 ","3.2 ","150.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1000.3 ","1010.1 ","25.9 ","21.6 ","77 ","1.2 ","130.0 ","4.0 ","180.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1000.6 ","1010.4 ","25.5 ","21.6 ","79 ","0.3 ","110.0 ","3.1 ","140.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"6","1001.0 ","1010.8 ","25.5 ","21.6 ","79 ","0.1 ","0.0 ","1.9 ","160.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1001.0 ","1010.8 ","26.1 ","21.8 ","77 ","1.2 ","160.0 ","3.1 ","150.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1001.1 ","1010.9 ","26.9 ","22.0 ","75 ","2.2 ","160.0 ","4.0 ","180.0 ","0.0 ","0.0 ","0.0 ","0.54 ","12.0 "
"9","1001.1 ","1010.9 ","27.5 ","21.9 ","72 ","2.1 ","170.0 ","6.5 ","210.0 ","0.0 ","0.0 ","0.0 ","0.60 ","12.0 "
"10","1000.8 ","1010.5 ","28.5 ","22.0 ","68 ","2.8 ","170.0 ","6.0 ","160.0 ","0.0 ","0.0 ","0.0 ","0.86 "," "
"11","1000.2 ","1009.9 ","30.5 ","22.9 ","64 ","3.5 ","170.0 ","7.3 ","180.0 ","0.0 ","0.0 ","0.4 ","1.83 ","12.0 "
"12","999.6 ","1009.2 ","31.7 ","23.1 ","60 ","3.2 ","190.0 ","7.2 ","180.0 ","0.0 ","0.0 ","0.8 ","2.64 "," "
"13","998.9 ","1008.5 ","31.2 ","22.2 ","59 ","3.7 ","190.0 ","8.6 ","170.0 ","0.0 ","0.0 ","0.3 ","1.79 "," "
"14","998.3 ","1007.9 ","31.6 ","21.7 ","56 ","1.8 ","190.0 ","7.8 ","170.0 ","0.0 ","0.0 ","0.0 ","1.11 ","12.0 "
"15","998.8 ","1008.4 ","30.6 ","20.6 ","55 ","1.2 ","260.0 ","7.8 ","220.0 ","0.0 ","0.0 ","0.0 ","0.28 "," "
"16","998.3 ","1008.1 ","26.8 ","21.6 ","73 ","1.0 ","190.0 ","3.4 ","220.0 ","0.9 ","0.9 ","0.0 ","0.00 "," "
"17","998.2 ","1007.9 ","27.0 ","22.6 ","77 ","0.3 ","140.0 ","3.1 ","220.0 ","T ","0.2 ","0.0 ","0.00 ","10.0 "
"18","998.6 ","1008.3 ","27.6 ","22.2 ","72 ","1.5 ","240.0 ","3.3 ","250.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"19","999.0 ","1008.7 ","27.3 ","22.0 ","73 ","1.5 ","190.0 ","3.6 ","220.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"20","999.6 ","1009.4 ","27.1 ","21.1 ","70 ","1.6 ","200.0 ","4.9 ","170.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"21","999.8 ","1009.6 ","26.7 ","20.8 ","70 ","2.1 ","180.0 ","4.9 ","180.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"22","1000.2 ","1010.0 ","26.6 ","21.0 ","71 ","2.4 ","170.0 ","5.0 ","160.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1000.2 ","1010.0 ","26.4 ","20.6 ","70 ","1.8 ","150.0 ","5.3 ","170.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"24","1000.0 ","1009.8 ","26.6 ","20.1 ","68 ","1.4 ","170.0 ","7.3 ","150.0 ","0.0 ","0.0 "," ","0.00 "," "
