"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1001.3 ","1002.0 ","26.8 ","23.7 ","83 ","0.1 ","0.0 ","1.6 ","90.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1001.3 ","1002.0 ","26.7 ","23.7 ","84 ","0.6 ","200.0 ","1.6 ","190.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1000.8 ","1001.5 ","26.7 ","23.3 ","82 ","1.6 ","140.0 ","2.8 ","110.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1001.1 ","1001.8 ","26.2 ","23.0 ","83 ","0.3 ","60.0 ","2.9 ","170.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1002.2 ","1002.9 ","26.0 ","22.9 ","83 ","0.6 ","210.0 ","1.7 ","280.0 ","0.0 ","0.0 "," ","0.00 ","15.0 "
"6","1002.2 ","1002.9 ","26.2 ","23.1 ","83 ","0.8 ","170.0 ","1.8 ","220.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1003.2 ","1003.9 ","27.0 ","23.6 ","82 ","0.8 ","210.0 ","2.2 ","220.0 ","0.0 ","0.0 ","0.1 ","0.15 "," "
"8","1003.3 ","1004.0 ","28.5 ","24.2 ","78 ","0.1 ","0.0 ","2.4 ","280.0 ","0.0 ","0.0 ","0.4 ","0.95 ","15.0 "
"9","1003.5 ","1004.2 ","30.7 ","25.2 ","73 ","0.8 ","170.0 ","2.2 ","180.0 ","0.0 ","0.0 ","0.9 ","2.05 ","13.0 "
"10","1003.5 ","1004.2 ","31.8 ","24.8 ","67 ","1.0 ","280.0 ","2.7 ","20.0 ","0.0 ","0.0 ","0.4 ","1.83 "," "
"11","1003.1 ","1003.8 ","32.3 ","24.7 ","64 ","0.6 ","300.0 ","4.1 ","290.0 ","0.0 ","0.0 ","0.6 ","2.69 ","13.0 "
"12","1002.9 ","1003.6 ","33.8 ","25.6 ","62 ","0.6 ","310.0 ","4.2 ","350.0 ","0.0 ","0.0 ","0.8 ","3.03 "," "
"13","1002.7 ","1003.4 ","33.9 ","25.3 ","61 ","0.7 ","310.0 ","4.8 ","350.0 ","0.0 ","0.0 ","0.7 ","2.74 "," "
"14","1002.6 ","1003.3 ","30.2 ","24.3 ","71 ","2.9 ","10.0 ","8.6 ","330.0 ","0.5 ","0.1 ","0.2 ","1.45 ","8.0 "
"15","1003.4 ","1004.1 ","26.9 ","23.0 ","79 ","5.7 ","300.0 ","9.9 ","280.0 ","33.5 ","1.0 ","0.0 ","0.00 "," "
"16","1004.4 ","1005.1 ","24.9 ","22.5 ","87 ","3.0 ","90.0 ","9.4 ","270.0 ","66.5 ","1.0 ","0.0 ","0.00 "," "
"17","1004.4 ","1005.1 ","25.0 ","23.0 ","89 ","1.2 ","130.0 ","4.5 ","70.0 ","30.5 ","1.0 ","0.0 ","0.00 ","4.0 "
"18","1004.9 ","1005.6 ","24.9 ","23.1 ","90 ","1.1 ","140.0 ","4.3 ","170.0 ","4.0 ","0.8 ","0.0 ","0.00 "," "
"19","1005.9 ","1006.6 ","25.2 ","23.6 ","91 ","0.8 ","120.0 ","3.2 ","100.0 ","T ","0.7 ","0.0 ","0.00 "," "
"20","1006.1 ","1006.8 ","25.4 ","23.5 ","89 ","1.1 ","160.0 ","2.6 ","60.0 ","0.5 ","1.0 "," ","0.00 ","12.0 "
"21","1006.7 ","1007.4 ","25.4 ","23.7 ","90 ","0.8 ","130.0 ","2.7 ","170.0 ","0.5 ","0.7 "," ","0.00 ","15.0 "
"22","1007.2 ","1007.9 ","25.2 ","23.5 ","90 ","1.2 ","120.0 ","3.6 ","90.0 ","0.0 ","0.0 "," ","0.00 "," "
"23","1007.0 ","1007.7 ","25.4 ","23.5 ","89 ","1.2 ","80.0 ","2.9 ","100.0 ","0.0 ","0.0 "," ","0.00 ","15.0 "
"24","1006.6 ","1007.3 ","25.5 ","23.6 ","89 ","1.3 ","90.0 ","2.7 ","90.0 ","0.0 ","0.0 "," ","0.00 "," "
