"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T.Max","T.Max.Time","T.Min","T.Min.Time","Td.dew.point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA"
1,1007.5,1007.8,1009.5,"2014-06-01 09:28",1005.5,"2014-06-01 16:48",29.9,33.6,"2014-06-01 13:04",27.6,"2014-06-01 05:24",25.1,76,57,"2014-06-01 13:04",2.4,310,8.2,320,"2014-06-01 14:05","0.0",0,"0.0","","0.0","",12.3,91.9,25.64,13.1,6.2
2,1005.7,1006.1,1007.5,"2014-06-02 06:49",1003.5,"2014-06-02 16:45",30.1,33,"2014-06-02 12:07",27.3,"2014-06-02 05:06",25.4,76,68,"2014-06-02 09:41",2.1,310,6.6,330,"2014-06-02 15:20","0.0",0,"0.0","","0.0","",9,67.2,23.21,14.4,5.5
3,1004.1,1004.4,1005.2,"2014-06-03 22:14",1003.1,"2014-06-03 15:09",28.7,31.5,"2014-06-03 11:05",26.4,"2014-06-03 14:18",25.2,81,73,"2014-06-03 11:04",1.5,330,13.9,340,"2014-06-03 14:10","15.5",1.5,"7.0","2014-06-03 09:27","7.5","2014-06-03 09:10",3.3,24.6,9.08,13.3,-2.7
4,1004.1,1004.4,1005.3,"2014-06-04 10:14",1002.9,"2014-06-04 16:16",28.4,31.3,"2014-06-04 15:44",26,"2014-06-04 05:20",24.4,79,71,"2014-06-04 15:55",1.3,70,5.2,70,"2014-06-04 11:07","0.5",1.4,"0.5","2014-06-04 09:38","0.5","2014-06-04 09:05",3.9,29.1,12.93,9.4,-1.9
5,1004.4,1004.7,1006.4,"2014-06-05 13:01",1002.9,"2014-06-05 02:44",28.3,31.4,"2014-06-05 08:40",25.3,"2014-06-05 13:25",24.9,82,72,"2014-06-05 08:00",1.3,50,11.2,280,"2014-06-05 13:01","11.5",3.1,"6.5","2014-06-05 13:01","8.0","2014-06-05 12:55",3.5,26.1,8.84,10.8,-2.7
6,1004.1,1004.5,1005.7,"2014-06-06 22:36",1002.6,"2014-06-06 16:10",28.9,32.4,"2014-06-06 12:22",25.3,"2014-06-06 23:09",24.8,79,66,"2014-06-06 12:15",1.9,270,14.1,260,"2014-06-06 22:53","3.5",1.5,"2.0","2014-06-06 22:50","3.5","2014-06-06 22:30",6.4,47.7,19.14,15.5,-4.7
7,1003.2,1003.6,1004.4,"2014-06-07 00:01",1002.1,"2014-06-07 18:59",27.6,31.4,"2014-06-07 10:58",25,"2014-06-07 14:29",24.5,83,64,"2014-06-07 09:01",1.8,180,15.7,270,"2014-06-07 14:14","24.0",3.4,"13.0","2014-06-07 14:24","20.0","2014-06-07 14:22",3.4,25.3,12.18,13.5,-1.7
8,1001.4,1001.8,1003,"2014-06-08 07:34",999.7,"2014-06-08 14:33",27.1,30.6,"2014-06-08 13:16",26,"2014-06-08 05:22",24.4,85,74,"2014-06-08 13:02",1.6,160,8.3,240,"2014-06-08 15:29","4.5",2.9,"2.0","2014-06-08 08:02","2.0","2014-06-08 07:55",0.2,1.5,6.92,10.3,-1.2
9,999.8,1000.1,1001.5,"2014-06-09 09:04",998.4,"2014-06-09 16:10",28,31,"2014-06-09 17:10",25.9,"2014-06-09 00:36",24.9,83,74,"2014-06-09 18:20",1.7,170,6.6,320,"2014-06-09 16:02","4.0",1.8,"2.0","2014-06-09 07:23","3.0","2014-06-09 07:05",0.3,2.2,11.36,10,-3.1
10,998.5,998.8,1000.4,"2014-06-10 22:13",996.8,"2014-06-10 16:29",29.1,32.4,"2014-06-10 14:22",26.4,"2014-06-10 05:38",25.5,81,72,"2014-06-10 12:45",2.1,310,7.7,300,"2014-06-10 15:29","0.0",0,"0.0","","0.0","",4.9,36.4,18.31,6.5,4.6
11,999.4,999.7,1001.3,"2014-06-11 22:16",998.2,"2014-06-11 04:30",29.5,31.7,"2014-06-11 12:50",27.4,"2014-06-11 04:46",25.7,80,75,"2014-06-11 10:53",2,170,6.9,210,"2014-06-11 14:13","0.0",0,"0.0","","0.0","",8.2,61,21.73,9.9,4.7
12,1000.8,1001.1,1002.9,"2014-06-12 22:35",999.6,"2014-06-12 02:42",29,31,"2014-06-12 13:07",27.9,"2014-06-12 20:17",25.2,80,75,"2014-06-12 15:48",1.8,280,5.4,270,"2014-06-12 11:29","T",0.5,"T","2014-06-12 20:04","T","2014-06-12 20:01",3.3,24.5,14.1,6.8,-3.1
