"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T.Max","T.Max.Time","T.Min","T.Min.Time","Td.dew.point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA"
1,978.8,988.3,981.7,"2012-08-01 00:01",976.5,"2012-08-01 16:00",27.6,30.9,"2012-08-01 12:57",25.1,"2012-08-01 22:50",23.7,80,66,"2012-08-01 11:41",3.5,360,22,40,"2012-08-01 21:03",9.8,7.3,1,"2012-08-01 20:24",3,"2012-08-01 19:53",1.3,9.8,11.84,10.8,"x"
2,980,989.6,986.5,"2012-08-02 23:13",974.3,"2012-08-02 02:13",24.5,26.2,"2012-08-02 00:55",23.9,"2012-08-02 11:42",23.8,96,83,"2012-08-02 00:44",3.9,350,21.7,350,"2012-08-02 00:02",465.2,24,13,"2012-08-02 12:51",54,"2012-08-02 12:01",0,0,0,3.5,"x"
3,988.6,998.2,990.6,"2012-08-03 23:57",986.5,"2012-08-03 00:01",27.1,31.6,"2012-08-03 12:34",23.9,"2012-08-03 02:03",23.8,83,64,"2012-08-03 13:45",1.8,170,11.3,200,"2012-08-03 10:12",12.6,6.1,1.5,"2012-08-03 03:10",4.3,"2012-08-03 04:10",0.3,2.3,9.14,6.5,"2.4"
4,991.6,1001.3,993.6,"2012-08-04 23:49",989.7,"2012-08-04 01:32",27.6,31.7,"2012-08-04 15:13",23.9,"2012-08-04 04:18",23,77,63,"2012-08-04 15:03",1.1,180,7.8,200,"2012-08-04 13:53",0,0,0,"",0,"",2.4,18.3,14.07,9,"2.1"
5,993.1,1002.8,994.8,"2012-08-05 09:55",991.8,"2012-08-05 16:04",27.9,32.2,"2012-08-05 13:32",25,"2012-08-05 06:42",23.7,79,60,"2012-08-05 13:17",0.7,60,5.2,130,"2012-08-05 06:23",0,0,0,"",0,"",1,7.6,12.11,9.5,"2.3"
6,992.3,1002,993.6,"2012-08-06 09:14",990.4,"2012-08-06 18:25",27.4,30.3,"2012-08-06 15:26",25.2,"2012-08-06 06:02",23.3,79,64,"2012-08-06 14:01",0.8,190,5.6,20,"2012-08-06 15:38",0.4,0.4,0.3,"2012-08-06 23:35",0.4,"2012-08-06 23:30",0,0,10.56,9.3,"-2.5"
7,990.5,1000.1,992.5,"2012-08-07 00:01",988.3,"2012-08-07 14:49",27.9,32.8,"2012-08-07 12:59",24.1,"2012-08-07 04:14",23.6,78,58,"2012-08-07 12:52",1.2,160,6.7,130,"2012-08-07 15:29",6.4,3,1.7,"2012-08-07 01:02",5,"2012-08-07 00:45",3.7,28.3,17.86,8,"-2.9"
8,989.9,999.5,991.6,"2012-08-08 23:01",987.9,"2012-08-08 15:52",29.7,33.4,"2012-08-08 14:18",27.2,"2012-08-08 03:10",24.3,73,60,"2012-08-08 12:51",2.3,180,8.5,190,"2012-08-08 11:25",0,0,0,"",0,"",5.6,42.8,20.24,8.5,"3.2"
9,991.9,1001.6,993.7,"2012-08-09 23:28",990.6,"2012-08-09 01:28",28.6,32.7,"2012-08-09 13:43",26.9,"2012-08-09 03:35",23.4,74,54,"2012-08-09 13:27",1.4,200,7.2,150,"2012-08-09 12:54",0.8,0.6,0.6,"2012-08-09 16:05",0.8,"2012-08-09 16:01",0.8,6.1,13.5,9.3,"-5.9"
10,994.9,1004.6,996.9,"2012-08-10 22:12",993.1,"2012-08-10 01:02",28.9,32,"2012-08-10 14:01",26.1,"2012-08-10 06:57",23.1,71,59,"2012-08-10 17:03",2.1,190,10.8,180,"2012-08-10 16:01",0.3,0.3,0.2,"2012-08-10 06:45",0.2,"2012-08-10 06:45",2,15.3,13.94,11.1,"-2.9"
11,996.9,1006.6,998.6,"2012-08-11 10:06",994.8,"2012-08-11 14:55",28.5,32.8,"2012-08-11 14:05",25,"2012-08-11 05:41",23,73,54,"2012-08-11 14:04",1.9,190,9.4,230,"2012-08-11 15:45",7.7,3.6,4.5,"2012-08-11 03:08",6.2,"2012-08-11 02:55",3.7,28.4,17.3,10,"3.0"
12,996.2,1005.9,997.8,"2012-08-12 00:01",994.3,"2012-08-12 14:20",29.4,33.5,"2012-08-12 13:08",26.6,"2012-08-12 03:53",23,69,54,"2012-08-12 13:12",1.8,150,9.6,240,"2012-08-12 15:48",0,0,0,"",0,"",7.2,55.4,23.52,10.5,"4.1"
13,995.8,1005.4,997,"2012-08-13 09:53",994,"2012-08-13 14:54",29.3,34,"2012-08-13 13:55",25.7,"2012-08-13 05:52",23.3,71,52,"2012-08-13 13:54",1.3,190,7.8,230,"2012-08-13 15:23",0,0,0,"",0,"",8.1,62.5,22.32,13.9,"2.6"
14,995.5,1005.1,996.6,"2012-08-14 08:30",994.7,"2012-08-14 15:56",29,32,"2012-08-14 14:15",26.5,"2012-08-14 03:00",24,75,63,"2012-08-14 14:13",1.3,330,9.6,310,"2012-08-14 12:43",0,0,0,"",0,"",4.3,33.2,18.03,10,"5.3"
15,992.9,1002.5,995.2,"2012-08-15 00:01",991.3,"2012-08-15 17:23",29.2,32.9,"2012-08-15 13:46",26.3,"2012-08-15 05:17",24.3,76,59,"2012-08-15 13:58",1.1,350,5.6,310,"2012-08-15 16:00",0,0,0,"",0,"",2,15.5,14.29,7.8,"4.6"
16,995.1,1004.8,1000.5,"2012-08-16 22:31",991.3,"2012-08-16 03:17",28.4,31.3,"2012-08-16 14:07",23.6,"2012-08-16 22:01",24.1,78,63,"2012-08-16 14:19",1.4,230,6.8,180,"2012-08-16 21:28",13.7,3.3,3.5,"2012-08-16 21:53",9.5,"2012-08-16 21:03",0,0,6.28,7,"-0.9"
17,999.5,1009.3,1002,"2012-08-17 22:16",997.7,"2012-08-17 03:48",26.6,32.9,"2012-08-17 13:36",24.1,"2012-08-17 03:46",23.3,83,56,"2012-08-17 13:35",0.9,230,8.9,60,"2012-08-17 15:08",60.2,7.3,23.5,"2012-08-17 15:08",53,"2012-08-17 14:54",3.3,25.6,15.27,9.9,"-1.7"
18,1000.1,1009.9,1001.6,"2012-08-18 22:11",998.6,"2012-08-18 15:30",25.9,28.9,"2012-08-18 13:46",24,"2012-08-18 02:08",23.6,87,73,"2012-08-18 09:13",0.9,70,4.6,190,"2012-08-18 10:29",3.8,2.6,1,"2012-08-18 16:15",3.1,"2012-08-18 16:00",1.6,12.4,8.96,9.1,"-2.2"
19,998.3,1008,1001.3,"2012-08-19 00:07",996.1,"2012-08-19 16:49",27.5,32.3,"2012-08-19 11:04",24.1,"2012-08-19 05:33",23.7,80,64,"2012-08-19 10:06",1.1,330,7.8,350,"2012-08-19 15:40",1.2,1.2,0.5,"2012-08-19 18:23",1,"2012-08-19 18:23",6.5,50.6,20.37,11.8,"-3.4"
20,997,1006.7,998.8,"2012-08-20 00:02",994.5,"2012-08-20 15:30",27.1,32.7,"2012-08-20 11:31",23.5,"2012-08-20 18:38",23,80,56,"2012-08-20 12:13",0.8,50,14.2,240,"2012-08-20 18:11",30,1.5,9,"2012-08-20 18:23",28,"2012-08-20 18:11",6,46.8,18.07,13.8,"-4.3"
21,996.4,1006.1,997.9,"2012-08-21 00:01",994.7,"2012-08-21 17:04",27.8,31.3,"2012-08-21 12:06",24.1,"2012-08-21 04:22",23.5,78,62,"2012-08-21 10:20",0.9,350,5.9,360,"2012-08-21 16:58",0.7,0.4,0.5,"2012-08-21 13:18",0.7,"2012-08-21 13:15",5.2,40.6,13.56,11.1,"-2.1"
22,994,1003.7,996.8,"2012-08-22 00:01",991.3,"2012-08-22 16:41",28.5,32,"2012-08-22 13:12",26.2,"2012-08-22 03:35",23.7,75,61,"2012-08-22 12:51",1,10,8.7,20,"2012-08-22 16:22",17.5,1.2,10,"2012-08-22 14:30",16.4,"2012-08-22 14:01",2.5,19.6,11.72,9.6,"-3.5"
23,990.4,1000,993.8,"2012-08-23 00:01",987,"2012-08-23 23:29",29.9,35.1,"2012-08-23 13:39",25.6,"2012-08-23 05:01",23.2,68,54,"2012-08-23 13:37",2.1,360,11.9,340,"2012-08-23 16:09",0,0,0,"",0,"",8.8,69,27.14,13.1,"3.2"
24,985.8,995.4,990.6,"2012-08-24 23:59",983.1,"2012-08-24 10:25",28.6,31.2,"2012-08-24 13:01",26.8,"2012-08-24 06:07",23.2,73,63,"2012-08-24 10:36",1.1,360,6.6,250,"2012-08-24 20:36",0.1,0.2,0.1,"2012-08-24 15:40",0.1,"2012-08-24 15:40",0,0,4.71,13.1,"-4.6"
25,994.4,1004.2,996.6,"2012-08-25 10:59",990.4,"2012-08-25 00:09",26.7,29.5,"2012-08-25 11:51",24.8,"2012-08-25 14:53",23.7,84,71,"2012-08-25 09:52",0.9,210,7.5,190,"2012-08-25 14:05",76.8,5.3,19,"2012-08-25 14:26",70,"2012-08-25 13:51",0.1,0.8,5.61,10.3,"-2.7"
26,992.5,1002.1,994.8,"2012-08-26 00:01",990.6,"2012-08-26 15:27",28.6,33.9,"2012-08-26 12:34",24.6,"2012-08-26 01:26",23.2,74,46,"2012-08-26 11:28",1.3,340,8.5,350,"2012-08-26 15:21",0,0,0,"",0,"",6.4,50.4,21.93,11,"5.4"
