"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T.Max","T.Max.Time","T.Min","T.Min.Time","Td.dew.point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA"
1,1009.6,1013.1,1011.3,"2014-11-01 07:37",1007.3,"2014-11-01 14:17",25.7,31.2,"2014-11-01 13:00",22.2,"2014-11-01 06:08",20.9,75,59,"2014-11-01 11:46",2.6,80,11.4,80,"2014-11-01 13:51","T",1.2,"T","2014-11-01 20:20","T","2014-11-01 19:40",9.1,82,18.27,13.3,-1.5
2,1012.7,1016.2,1016.4,"2014-11-02 22:46",1009.1,"2014-11-02 02:30",22.9,24.6,"2014-11-02 00:24",20.3,"2014-11-02 21:50",19.2,80,67,"2014-11-02 23:58",2.2,80,10.1,100,"2014-11-02 21:07","6.0",7.1,"1.0","2014-11-02 01:10","2.0","2014-11-02 00:29",0,0,0.49,10.8,-1.9
3,1015.6,1019.2,1017.1,"2014-11-03 09:07",1014.1,"2014-11-03 14:33",20.8,21.4,"2014-11-03 09:17",19.3,"2014-11-03 21:26",13.4,63,59,"2014-11-03 10:47",2.5,80,10.2,40,"2014-11-03 10:25","T",0.7,"T","2014-11-03 20:50","T","2014-11-03 20:50",0,0,0.78,14,-1.4
4,1015.1,1018.7,1016.9,"2014-11-04 09:20",1013.9,"2014-11-04 14:56",20.8,22.5,"2014-11-04 13:01",19.4,"2014-11-04 02:09",14,65,60,"2014-11-04 10:37",2,110,8.8,120,"2014-11-04 13:18","0.0",0,"0.0","","0.0","",0,0,4.79,17.1,1.4
5,1014.6,1018.2,1016.8,"2014-11-05 08:52",1012.2,"2014-11-05 15:05",21.5,25.7,"2014-11-05 12:04",18.6,"2014-11-05 06:24",14.5,65,54,"2014-11-05 12:04",2.7,80,10.1,70,"2014-11-05 15:13","0.0",0,"0.0","","0.0","",9.1,82.6,17.6,17.8,2.6
6,1015.2,1018.7,1017.3,"2014-11-06 21:08",1012.8,"2014-11-06 02:15",21.8,26.2,"2014-11-06 10:58",18.2,"2014-11-06 05:06",16.1,70,60,"2014-11-06 12:41",2.2,80,10.7,30,"2014-11-06 13:52","0.0",0,"0.0","","0.0","",3.9,35.4,11.79,18.3,3.6
7,1016.4,1020,1018.6,"2014-11-07 08:34",1014.9,"2014-11-07 23:43",22.3,24.5,"2014-11-07 10:11",21.4,"2014-11-07 06:04",15.8,67,62,"2014-11-07 09:20",3.3,90,10.5,80,"2014-11-07 10:36","0.0",0,"0.0","","0.0","",0.6,5.5,6.86,18,1
8,1014.1,1017.6,1016,"2014-11-08 22:28",1012.1,"2014-11-08 13:43",24.6,28.3,"2014-11-08 13:09",22,"2014-11-08 06:35",18.6,69,57,"2014-11-08 14:22",2,80,8.4,80,"2014-11-08 08:08","0.0",0,"0.0","","0.0","",0.7,6.4,8.8,16.4,-2.7
9,1015.7,1019.3,1017.6,"2014-11-09 09:12",1014.4,"2014-11-09 13:59",21.9,23.5,"2014-11-09 00:02",20.7,"2014-11-09 17:27",18.8,83,78,"2014-11-09 00:25",1.6,80,8.9,80,"2014-11-09 16:14","9.5",8.4,"2.0","2014-11-09 09:06","5.0","2014-11-09 08:40",0.2,1.8,1.06,9.9,-0.3
10,1014.9,1018.5,1016.9,"2014-11-10 09:26",1013.1,"2014-11-10 13:58",22,23.6,"2014-11-10 12:10",20.8,"2014-11-10 23:36",16.6,72,66,"2014-11-10 13:38",3.5,80,12.6,60,"2014-11-10 13:06","0.0",0,"0.0","","0.0","",0.2,1.8,7.37,15.5,0.4
11,1013.6,1017.2,1015.4,"2014-11-11 08:08",1011.5,"2014-11-11 14:59",22.2,25.3,"2014-11-11 11:35",20.5,"2014-11-11 01:41",16.6,71,64,"2014-11-11 12:07",2.9,70,10.8,70,"2014-11-11 09:48","0.0",0,"0.0","","0.0","",6.6,60.5,15.33,15.4,1.1
12,1015.5,1019.1,1017.7,"2014-11-12 23:15",1013.6,"2014-11-12 03:26",20.3,21.8,"2014-11-12 07:55",18.4,"2014-11-12 23:07",16.7,80,73,"2014-11-12 00:07",2.4,80,8.6,70,"2014-11-12 11:36","1.5",6.5,"0.5","2014-11-12 21:01","1.0","2014-11-12 21:01",0,0,1.56,10.5,-0.6
13,1018.8,1022.4,1021.1,"2014-11-13 09:37",1017.1,"2014-11-13 01:02",17.9,18.9,"2014-11-13 00:45",16.9,"2014-11-13 06:42",14.6,81,74,"2014-11-13 23:13",2.6,90,8.6,70,"2014-11-13 06:29","14.0",17,"1.5","2014-11-13 04:43","3.5","2014-11-13 04:29",0,0,0.48,7.9,-2.6
14,1018.6,1022.2,1020.3,"2014-11-14 21:01",1016.7,"2014-11-14 04:19",19,20.7,"2014-11-14 10:44",18,"2014-11-14 06:34",14.9,77,70,"2014-11-14 04:43",3.5,90,10.9,80,"2014-11-14 09:24","T",0.5,"T","2014-11-14 19:05","T","2014-11-14 19:05",0,0,3.95,13,-0.2
15,1017.5,1021.1,1019.9,"2014-11-15 08:08",1014.9,"2014-11-15 15:34",20.7,22.1,"2014-11-15 18:08",19.1,"2014-11-15 06:08",16.9,79,70,"2014-11-15 01:42",3.3,80,12.2,90,"2014-11-15 10:45","4.5",9.6,"0.5","2014-11-15 05:12","1.5","2014-11-15 21:48",0,0,4.06,13.5,-1.4
16,1014.5,1018,1017.2,"2014-11-16 00:05",1011.8,"2014-11-16 14:36",21.9,26.3,"2014-11-16 12:55",18.2,"2014-11-16 05:34",18.9,83,73,"2014-11-16 12:21",2.1,70,12.6,80,"2014-11-16 14:11","1.0",3.2,"0.5","2014-11-16 00:25","0.5","2014-11-16 00:01",0.8,7.4,9.74,15.5,-1
17,1016.8,1020.4,1020.6,"2014-11-17 22:50",1014,"2014-11-17 01:49",19.8,21.1,"2014-11-17 00:06",17.1,"2014-11-17 23:49",16.8,83,77,"2014-11-17 17:59",1.9,80,11.1,40,"2014-11-17 17:45","8.0",21.3,"0.5","2014-11-17 00:05","1.5","2014-11-17 00:10",0,0,0.53,9.3,-0.2
18,1020,1023.6,1021.3,"2014-11-18 20:43",1018.7,"2014-11-18 12:54",18.5,20.1,"2014-11-18 11:57",16.8,"2014-11-18 01:15",14,75,64,"2014-11-18 23:31",2.5,110,10.1,80,"2014-11-18 12:51","1.5",5.4,"0.5","2014-11-18 02:31","1.0","2014-11-18 05:06",0,0,1.35,8.8,0.7
19,1017.7,1021.3,1020.3,"2014-11-19 00:04",1015.1,"2014-11-19 14:18",20.1,22.3,"2014-11-19 12:09",17.9,"2014-11-19 01:49",14.9,72,64,"2014-11-19 11:21",3,80,11.6,80,"2014-11-19 13:53","0.0",0,"0.0","","0.0","",0.3,2.8,6.65,17.1,1.5
20,1015,1018.6,1016.9,"2014-11-20 00:07",1012.9,"2014-11-20 15:02",21.6,24.9,"2014-11-20 14:03",19.2,"2014-11-20 04:18",17.7,78,70,"2014-11-20 10:43",3.6,80,12.1,90,"2014-11-20 15:34","0.0",0,"0.0","","0.0","",7.6,70.6,14.82,27.9,2.2
21,1013.6,1017.1,1015.5,"2014-11-21 08:20",1011.6,"2014-11-21 14:25",23.1,28.6,"2014-11-21 13:33",19,"2014-11-21 06:18",18.6,76,60,"2014-11-21 12:18",2.2,80,9,70,"2014-11-21 00:04","0.0",0,"0.0","","0.0","",8.2,76.3,14.3,22.9,2
22,1013,1016.5,1015.3,"2014-11-22 09:03",1010.5,"2014-11-22 14:22",24.1,28.3,"2014-11-22 12:40",20.9,"2014-11-22 05:56",18.8,73,57,"2014-11-22 12:31",3.6,80,11.3,80,"2014-11-22 14:11","0.0",0,"0.0","","0.0","",9.8,91.3,15.64,33.8,4.5
23,1012.9,1016.4,1014.6,"2014-11-23 07:54",1011.3,"2014-11-23 14:04",25.1,29.4,"2014-11-23 13:27",22.1,"2014-11-23 06:22",18.9,69,58,"2014-11-23 12:34",3.5,80,9.3,70,"2014-11-23 13:42","0.0",0,"0.0","","0.0","",9.9,92.3,16.17,25,2
24,1011.5,1015.1,1013.7,"2014-11-24 08:04",1009.5,"2014-11-24 13:51",24.2,29.4,"2014-11-24 11:43",20.6,"2014-11-24 06:18",18.6,71,53,"2014-11-24 12:39",1.1,330,7,320,"2014-11-24 13:00","0.0",0,"0.0","","0.0","",8.5,79.4,14.75,13.4,3.4
25,1010.2,1013.7,1012.5,"2014-11-25 08:28",1007.9,"2014-11-25 14:51",22.8,28,"2014-11-25 13:07",19.4,"2014-11-25 05:34",17.8,74,61,"2014-11-25 12:35",1.8,80,7.6,90,"2014-11-25 17:04","0.0",0,"0.0","","0.0","",5.9,55.2,12.82,8,1.8
26,1012.1,1015.7,1013.7,"2014-11-26 09:53",1010,"2014-11-26 01:32",22.3,25.2,"2014-11-26 11:50",20.4,"2014-11-26 05:07",17.9,76,68,"2014-11-26 12:25",3.2,80,12.9,70,"2014-11-26 15:12","0.0",0,"0.0","","0.0","",4.2,39.3,12.39,12.6,4.5
27,1012.3,1015.9,1014.3,"2014-11-27 08:57",1010.6,"2014-11-27 16:09",23.1,25.3,"2014-11-27 14:10",21.7,"2014-11-27 03:41",19.7,82,76,"2014-11-27 00:01",3.4,80,11.6,70,"2014-11-27 02:10","T",0.7,"T","2014-11-27 15:07","T","2014-11-27 15:07",0.4,3.7,6.11,13.6,-0.4
28,1011.8,1015.3,1013.4,"2014-11-28 09:16",1010.5,"2014-11-28 13:07",24.6,30.3,"2014-11-28 12:01",21.7,"2014-11-28 04:42",20.8,79,64,"2014-11-28 11:24",1.4,80,8.3,90,"2014-11-28 20:09","0.0",0,"0.0","","0.0","",4.9,46,12.17,13.6,1.7
29,1010.1,1013.6,1012.2,"2014-11-29 09:09",1007.4,"2014-11-29 14:56",26.2,31.6,"2014-11-29 13:41",23.2,"2014-11-29 00:58",21.7,77,61,"2014-11-29 12:53",1.2,80,7.7,70,"2014-11-29 00:53","0.0",0,"0.0","","0.0","",7.8,73.2,13.97,15.3,3.1
30,1009.7,1013.2,1011.7,"2014-11-30 09:07",1007.2,"2014-11-30 14:42",25.7,30.3,"2014-11-30 13:24",22.7,"2014-11-30 04:55",21.1,76,65,"2014-11-30 13:20",0.6,320,8.2,280,"2014-11-30 23:43","0.0",0,"0.0","","0.0","",0.6,5.6,8.47,10.3,-2.1
