Id,cateId,picS,picB,name,describe,price,author,brand,publishDate,isPick
DYAD2O-A9006JDQE,DYAD2O,/pic/v1/data/item/201510/D/Y/A/D/2/O/sDYAD2O-A9006JDQE000_560e037b08db2.jpg,/pic/v1/data/item/201604/D/Y/A/D/2/O/DYAD2O-A9006JDQE000_57198b2dc111b.jpg,SONY Xperia Z5,超值▼送16G卡+行動電源▼SONY Xperia Z5 5.2吋美型防水旗艦機,16900,,,,0
DYAD2R-A9006XKSI,DYAD2R,/pic/v1/data/item/201604/D/Y/A/D/2/R/sDYAD2R-A9006XKSI000_56fe3f0b20c2e.jpg,/pic/v1/data/item/201605/D/Y/A/D/2/R/DYAD2R-A9006XKSI000_572ff4b5655b1.jpg,SONY Xperia Z5 Premium,▼送32G卡+手機立架+玻璃貼SONY Xperia Z5 Premium,19900,,,,0
DPAE03-A9006RR9X,DPAE03,/pic/v1/data/item/201601/D/P/A/E/0/3/sDPAE03-A9006RR9X000_56970708b9924.jpg,/pic/v1/data/item/201601/D/P/A/E/0/3/DPAE03-A9006RR9X000_56970708b6c29.jpg,Sony 行動微型投影機 MP-CL1,Sony 行動微型投影機 MP-CL1,11900,,,,0
DYAD2R-A900776LD,DYAD2R,/pic/v1/data/item/201604/D/Y/A/D/2/R/sDYAD2R-A900776LD000_5718b07ab2c7c.jpg,/pic/v1/data/item/201604/D/Y/A/D/2/R/DYAD2R-A900776LD000_571f33630a4e5.jpg,SONY Xperia Z5 Premium玫瑰石英粉,▼送Kitty側掀專用皮套▼SONY Xperia Z5 Premium玫瑰石英粉,20900,,,,0
DGBT30-A900649ND,DYAQA6,/pic/v1/data/item/201505/D/G/B/T/3/0/sDGBT30-A900649ND000_5567e78207366.jpg,/pic/v1/data/item/201604/D/G/B/T/3/0/DGBT30-A900649ND000_5715927991a26.jpg,SONY SBH70 (防水IP57)無線藍牙耳機,SONY SBH70 (防水IP57)無線藍牙耳機,2240,,,,0
DYAD2J-A9006I085,DYAD2J,/pic/v1/data/item/201509/D/Y/A/D/2/J/sDYAD2J-A9006I085000_55f7f34abd5c9.jpg,/pic/v1/data/item/201509/D/Y/A/D/2/J/DYAD2J-A9006I085000_55f7f34aba324.jpg,Sony Xperia C5 Ultra E5553 6吋八核自拍機 ,送保護套+玻璃保貼Sony Xperia C5 Ultra E5553 6吋八核自拍機 ,8890,,,,0
DGBJA7-19006PWRS,DGBJA7,/pic/v1/data/item/201512/D/G/B/J/A/7/sDGBJA7-19006PWRS000_56712b0b85546.jpg,/pic/v1/data/item/201512/D/G/B/J/A/7/DGBJA7-19006PWRS000_56712b0b84290.jpg,SONY PS4主機 CUH-1207A系列500G(極致黑), 雙手把+周邊SONY PS4主機 CUH-1207A系列500G(極致黑),12980,,,,0
DYAD24-A9006WKHJ,DYAD24,/pic/v1/data/item/201603/D/Y/A/D/2/4/sDYAD24-A9006WKHJ000_56eba5c8977ce.png,/pic/v1/data/item/201603/D/Y/A/D/2/4/DYAD24-A9006WKHJ000_56eba5c894517.jpg,【福利品】Sony Xperia C3 D2533 5.5吋四核心智慧型手機,★限量商品※售完不補【福利品】Sony Xperia C3 D2533 5.5吋四核心智慧型手機,4680,,,,0
DGBJA7-19006Y7WE,DGBJA7,/pic/v1/data/item/201604/D/G/B/J/A/7/sDGBJA7-19006Y7WE000_570b66cabed1d.jpg,/pic/v1/data/item/201604/D/G/B/J/A/7/DGBJA7-19006Y7WE000_570b66cabb68e.jpg,SONY PS4主機 CUH-1207B系列1TB(極致黑), 1T+遊戲任選+周邊SONY PS4主機 CUH-1207B系列1TB(極致黑) ,14080,,,,0
DYAI01-A9005ZOP5,DYAI01,/pic/v1/data/item/201503/D/Y/A/I/0/1/sDYAI01-A9005ZOP5000_5515279fe5451.jpg,/pic/v1/data/item/201503/D/Y/A/I/0/1/DYAI01-A9005ZOP5000_5515279fe2d94.jpg,SONY SmartWatch 3 SWR50 防水智慧手錶(金屬錶帶) ,[現降兩千]SONY SmartWatch 3 SWR50 防水智慧手錶(金屬錶帶),7990,,,,0
